A,B,C,D,E,F,G,H,I,J,,,
0,0,1,0,0,1,1,0.1615324183,0.4125574371,0.3804530995,0.8436698280,0.9119056556,0.5764261284
0,1,0,1,1,1,0,0.9922200358,0.8616848267,0.4457092546,0.9157188265,0.6266822219,0.4836835116
0,0,0,1,1,0,0,0.8399500949,0.2685806365,0.7738222792,0.4558200128,0.3723163172,0.4620195967
1,1,0,1,0,1,1,0.7433031164,0.4869102999,0.2863525371,0.6207527709,0.7051778440,0.5904792603
0,0,0,0,1,1,0,0.9617386591,0.0206212723,0.4521674435,0.3503970574,0.8967003496,0.9693050953
0,1,1,1,1,0,1,0.6049214546,0.9290881408,0.2812474039,0.1189907775,0.5581660345,0.1417351197
0,1,1,1,0,0,0,0.5692284405,0.0113803279,0.2061661412,0.9114568061,0.8008626122,0.7379412986
1,0,1,1,0,0,1,0.8549941368,0.4634672911,0.9939601664,0.4116076678,0.9714794033,0.7457321687
1,0,1,1,1,0,1,0.4538072417,0.2719288813,0.6492767325,0.7621582970,0.8273306396,0.3980268342
0,0,0,1,0,1,1,0.4817412356,0.8263831716,0.0890324311,0.8583786390,0.2854702910,0.2684011292
0,0,1,1,1,1,0,0.8519476969,0.2065861239,0.5237335358,0.4982146965,0.7973362724,0.2697762479
1,0,0,0,0,0,0,0.4256950994,0.0189740933,0.8770957734,0.9766489845,0.4852513289,0.0668120431
1,1,1,0,0,1,0,0.8973197476,0.0463258582,0.9206731818,0.5227697119,0.2385605788,0.3932871819
0,0,1,1,0,1,1,0.8976988988,0.5580070717,0.3260655794,0.1242471235,0.3064555358,0.3151611416
0,0,0,1,0,1,0,0.9070287538,0.1271071373,0.8319483157,0.9502136931,0.0884759235,0.2928119097
1,1,0,0,1,0,1,0.0083965496,0.4521919410,0.5712445793,0.5819499763,0.8486506343,0.6638965672
0,0,1,1,1,0,1,0.5255853990,0.4293897729,0.6156669087,0.1929494059,0.6829584572,0.5631863941
0,1,0,1,0,0,1,0.1337944036,0.6168912398,0.8817763897,0.2206046893,0.2466511461,0.5444159186
1,1,0,0,0,1,1,0.1647186643,0.3763160054,0.8206563434,0.0993624055,0.5503331809,0.0390878217
1,0,1,1,1,0,0,0.0861187070,0.5110636442,0.7546075433,0.1551580513,0.9667709689,0.2671368136
1,1,1,0,0,1,1,0.3180275084,0.8647274757,0.7472386616,0.2476336639,0.3893523691,0.5581637602
0,0,0,0,0,0,1,0.0470419908,0.3560931436,0.7229270348,0.7212930475,0.8666602336,0.0776689923
1,1,0,1,0,0,1,0.8592320662,0.6229555947,0.0191750056,0.5440332168,0.1164965485,0.9277603207
1,0,1,1,0,0,1,0.2565450221,0.9345231745,0.0541030122,0.3599456870,0.9704862274,0.3397958386
1,0,0,1,1,0,1,0.1782271559,0.9602938606,0.7567861150,0.4719589953,0.1009353064,0.7134553608
0,0,1,1,0,1,1,0.6939465548,0.5416901354,0.0118765198,0.9445510320,0.7741831192,0.9175975318
0,0,0,0,0,1,1,0.7863466553,0.2548771799,0.0568903079,0.3160688705,0.7225249400,0.1332412455
0,0,0,0,0,1,0,0.1493453747,0.5319463559,0.6777558997,0.9250805369,0.6146048610,0.3518020655
1,1,0,1,0,0,1,0.3070839569,0.2763589225,0.1746177347,0.3324163198,0.9015600663,0.4351508482
0,0,1,0,1,1,1,0.8217867031,0.2083273847,0.8358465414,0.6941475244,0.1852608481,0.4930400918
1,0,1,0,1,1,0,0.5698994049,0.0604832559,0.4498327356,0.1719129849,0.8939875169,0.4342779447
1,1,1,0,1,0,1,0.8787154630,0.3919327063,0.7260230305,0.2801808771,0.0420375909,0.6815909687
0,0,1,1,1,0,1,0.0436053877,0.2261636984,0.7500348766,0.2555032526,0.4860569728,0.2651313283
0,0,0,1,1,0,1,0.1880623344,0.1569159473,0.2445693510,0.7004147791,0.5451962124,0.8977995547
0,1,0,0,0,1,1,0.4042054424,0.2049779003,0.6306290478,0.0051432746,0.5848920015,0.3112520380
0,1,1,1,0,1,0,0.0473361579,0.2002594937,0.2753042337,0.2988764783,0.1623289338,0.4978939402
1,0,0,1,1,1,1,0.4705879167,0.1688852627,0.1093806392,0.2121778280,0.9269641005,0.8408843474
0,0,1,0,0,0,0,0.6532166377,0.3640317800,0.0557782473,0.6316149575,0.7881509704,0.9114407985
0,0,1,1,0,0,0,0.9580638148,0.8999740393,0.6443980671,0.9269816126,0.5126336105,0.4412491350
1,1,0,0,0,1,1,0.6068825461,0.6327401702,0.9159596898,0.0717310561,0.1521679675,0.3878200720
1,1,1,0,0,0,0,0.2021562429,0.2094745110,0.2698824685,0.7909981017,0.3151302324,0.1572807180
1,0,1,1,0,1,0,0.2260059481,0.8269319939,0.7630752558,0.6402292578,0.0094267409,0.3798045437
1,0,0,0,0,0,0,0.8763658023,0.3281561760,0.5154394167,0.5270818863,0.1154833226,0.5831529512
0,0,1,1,0,0,1,0.7254078090,0.1196520184,0.8002295410,0.5819505872,0.6382199544,0.1340320888
0,1,0,0,0,1,0,0.1797546889,0.2209980409,0.7741580862,0.2283822964,0.8051596936,0.0743064783
1,1,1,1,1,0,1,0.9482075395,0.9578170981,0.4577587936,0.8223742531,0.0025938926,0.2561940160
1,1,1,0,0,1,1,0.5101361237,0.2799651483,0.0035580276,0.9820438847,0.8857241543,0.4403433269
1,0,1,0,1,1,1,0.2941903411,0.1383283311,0.0931899785,0.1416318715,0.2702206830,0.8932130877
1,0,1,1,1,0,0,0.8820584998,0.6814020830,0.9193830164,0.3116189376,0.9231850612,0.0627762359
1,0,0,1,0,0,1,0.0909853717,0.8062778474,0.6508889222,0.6225875868,0.8345766217,0.3945406219
0,1,0,0,0,0,1,0.0169239151,0.3789535007,0.2795776012,0.7899861946,0.7003252455,0.9572641039
0,0,1,0,0,1,1,0.3601167048,0.2827917761,0.5952693555,0.7031085384,0.2725574141,0.6611427101
1,1,1,1,1,1,0,0.5762977423,0.5036050677,0.7054660143,0.3798199650,0.4212479256,0.0153452284
0,0,0,0,0,0,0,0.3129720404,0.7282848060,0.7448356887,0.9378364603,0.0740051465,0.2073117471
0,1,1,1,0,0,1,0.5086214417,0.4845998851,0.6549313138,0.4401391698,0.1084781243,0.9964457820
0,0,1,0,0,1,0,0.9427102129,0.2828955469,0.7254246068,0.4137535905,0.5996719198,0.7307283795
1,1,0,1,1,1,1,0.2822483382,0.4987330991,0.9839791493,0.2583191469,0.1422845279,0.2711306037
0,0,0,1,1,0,1,0.8231287571,0.1857658145,0.3666447266,0.2539542108,0.0918294559,0.2723154565
0,0,1,1,0,1,0,0.5430012564,0.6672149184,0.4189425199,0.8691359563,0.6642481755,0.9699432915
0,1,1,0,0,0,1,0.8709395146,0.1904117507,0.8760585110,0.4267346137,0.6213432597,0.3661647066
1,1,0,0,1,1,1,0.9878327739,0.2007882777,0.9273252408,0.6615961334,0.0386609342,0.5147926114
1,0,0,0,0,0,0,0.7875711140,0.6635010401,0.7986963796,0.0725950962,0.3030982860,0.8856601971
0,0,0,1,1,1,0,0.3512173044,0.4316979330,0.0770691819,0.1544003384,0.7931998875,0.6506755468
0,0,0,0,0,0,0,0.3505796688,0.8924198621,0.5519722528,0.9762613620,0.9489877620,0.8460220881
1,0,0,0,1,1,0,0.1430119928,0.8371273344,0.9076575604,0.9976224788,0.0596032399,0.9358621663
0,1,1,1,0,0,0,0.1563902865,0.5084904153,0.1908765864,0.5728976279,0.0800635000,0.6426528757
0,1,1,0,0,1,0,0.1022245567,0.9243438025,0.6532768644,0.5503492835,0.8620140408,0.5566028389
1,1,1,0,0,1,1,0.5675331731,0.7476214808,0.5439303503,0.6570498366,0.8673726725,0.2708254368
0,0,1,1,1,1,0,0.9237283431,0.1486369171,0.2810172769,0.8690632056,0.1344577894,0.8516637976
0,0,0,1,0,1,1,0.9373388179,0.4620955824,0.1996559268,0.7740744986,0.4062105133,0.5108472230
0,1,0,1,0,0,0,0.8557840670,0.5631103455,0.7759167817,0.1795104905,0.3854814759,0.9398238091
1,0,1,1,1,0,0,0.8772245357,0.3302035541,0.3735202262,0.6231674580,0.9681261545,0.5265311883
0,0,0,1,0,1,1,0.4321853141,0.8049116749,0.2296641520,0.6835211478,0.1269609951,0.4075489570
1,0,1,1,0,1,1,0.4056157740,0.8958098735,0.2417828958,0.1738388278,0.3970611910,0.2900009705
0,0,1,0,0,0,0,0.2374372869,0.4019153775,0.7851539426,0.8003303576,0.9521962502,0.9141312744
0,1,0,1,0,0,1,0.6517444584,0.2187616103,0.9421400726,0.7038634801,0.5761351464,0.5760405846
1,0,0,0,1,0,1,0.0343096391,0.2922946615,0.0494074388,0.9741811915,0.0854291711,0.4057536563
0,1,1,0,1,1,1,0.3460186035,0.1983092236,0.4930874608,0.8152565593,0.7107101968,0.3468331471
1,1,1,1,1,0,1,0.6430617906,0.4451578571,0.2415735470,0.5987805040,0.2666081977,0.6918979436
1,1,0,1,0,0,0,0.6738398108,0.0372067802,0.0636085989,0.2280773725,0.6348303100,0.4860299565
0,1,0,1,1,1,0,0.3120584916,0.5938707925,0.4882189110,0.6674912213,0.8217305490,0.2463224786
1,0,0,1,1,0,1,0.8846059400,0.9027586635,0.3511497444,0.5886164727,0.5896584149,0.8057763916
1,0,0,1,0,1,1,0.2403239273,0.4779069312,0.0024401951,0.6935801981,0.5326326331,0.8943139222
0,1,0,1,1,1,0,0.7220339244,0.6080018114,0.6638701237,0.4987101206,0.5628157821,0.9019279769
1,1,0,1,0,0,1,0.4445505212,0.8708606665,0.5854513184,0.1860182909,0.6080752062,0.4407005054
0,1,1,0,0,0,0,0.9434692226,0.6919009630,0.3617852819,0.0182813900,0.1524041779,0.6591745745
0,1,0,1,1,0,0,0.2927995622,0.4551791870,0.4982597064,0.1676965053,0.3356388877,0.4494663309
1,1,0,0,0,0,0,0.1909061763,0.5667615212,0.9507419476,0.9078842751,0.8713958622,0.2041410147
1,0,0,1,1,1,0,0.3003657656,0.9301340254,0.5279807728,0.8168215817,0.9924840587,0.1082829637
0,0,1,1,0,1,1,0.8876209189,0.3041213155,0.5976952412,0.8545178790,0.7387595149,0.6385307852
0,1,1,1,1,0,1,0.9475887637,0.7226535813,0.4328091759,0.3929267670,0.5943113142,0.6984797115
0,1,1,0,1,1,1,0.3612955571,0.5891346517,0.3589442656,0.8006256800,0.4281447455,0.8090939149
1,1,0,0,0,1,1,0.2923471304,0.9327263823,0.2846064488,0.0024599703,0.0417513894,0.7695976202
0,0,0,0,1,1,1,0.3244903251,0.2101091384,0.0093254098,0.2287647231,0.0292267296,0.4453788036
0,1,0,0,0,1,0,0.5279165329,0.0079276832,0.0730687850,0.5183792473,0.9740402424,0.0263465815
0,1,0,1,1,1,1,0.7612560657,0.3101551072,0.0035575856,0.0130283530,0.5234985743,0.1600335441
1,1,0,0,0,1,1,0.9872702062,0.5514365989,0.0127110733,0.7915947358,0.8263207474,0.3390832478
1,1,1,1,0,0,0,0.2172368937,0.9724921701,0.8775611492,0.5793830031,0.7538106572,0.4054701887
1,0,0,0,0,1,1,0.4375097537,0.0633228957,0.3127745325,0.0533014145,0.5972430808,0.5232994133
0,1,0,0,1,0,0,0.2260500104,0.4948579972,0.8469606489,0.7481050682,0.4526530518,0.1078696181
1,1,0,0,1,0,1,0.7898123008,0.6585937114,0.6636430793,0.8302488271,0.9394042343,0.7339564511
0,0,1,0,0,0,0,0.6093656025,0.6606042301,0.2405757043,0.9399613268,0.7337078140,0.3685604976
0,1,1,1,1,1,0,0.6428465368,0.9658929077,0.0462659369,0.3484313465,0.3765316699,0.6810004464
1,0,0,1,0,1,1,0.4782617991,0.0989454747,0.4707167828,0.8403467662,0.0124873775,0.9325402458
0,1,0,1,0,0,0,0.0639282726,0.2268339326,0.5616041664,0.8632147806,0.7212521727,0.2322796215
1,0,1,0,1,0,0,0.5183472103,0.9920749706,0.0614622394,0.4593275040,0.1198511082,0.2081116033
1,0,1,1,0,0,1,0.9416845106,0.6401810749,0.4317051345,0.8304667166,0.5192351611,0.0462304861
1,1,1,1,1,1,1,0.8318898263,0.7594954465,0.8810121636,0.6660523214,0.2426659884,0.5497116758
1,0,0,0,0,1,1,0.2224779516,0.6666819304,0.5499509964,0.9631469306,0.4355702423,0.3731249319
1,1,0,1,0,0,0,0.8573085582,0.5941655887,0.1098663528,0.1278720321,0.0242220997,0.6281627314
0,0,0,0,0,1,1,0.1078399983,0.9839438349,0.9327677479,0.0968426070,0.6465575709,0.1950560128
0,1,1,0,0,1,1,0.4713749057,0.1144858133,0.5720891985,0.5424730489,0.9721544273,0.5118815382
1,1,1,0,1,1,1,0.5866922964,0.2529443712,0.9350776183,0.1632309803,0.3174282024,0.0350430952
1,0,0,0,0,1,0,0.9243712807,0.5763578764,0.3122453187,0.9001097493,0.8929948048,0.3721537599
0,0,0,0,1,1,1,0.3401556597,0.3270059694,0.3958717058,0.4999467586,0.1718810000,0.6093917610
1,0,0,1,1,0,0,0.4396494050,0.4521956155,0.5033428986,0.9580863179,0.9395038313,0.0015567285
0,0,1,0,1,1,1,0.6528292773,0.5057901489,0.9705909090,0.5121183731,0.1520575853,0.0355720446
1,0,0,0,1,1,0,0.0743150148,0.5472512231,0.6223264006,0.3956491509,0.2473647916,0.8964671600
0,1,1,0,1,1,1,0.7912737983,0.6614208692,0.7849630113,0.2702187807,0.7599114575,0.6099175173
0,0,0,1,1,1,1,0.1368131731,0.8365829103,0.0244051400,0.2620041803,0.9887621319,0.8193650478
0,1,0,1,1,1,0,0.1237835353,0.8752130149,0.0287019284,0.5127097252,0.8398369304,0.1197392466
1,0,1,1,0,0,1,0.2728346079,0.5446831994,0.7802636535,0.8454504753,0.5444151768,0.6999435714
1,1,0,1,0,0,1,0.7765170899,0.9133406328,0.5065894732,0.5851050210,0.6670186631,0.7309549390
1,0,0,1,1,1,1,0.7543888479,0.7390054273,0.2314942917,0.8038654267,0.6762540159,0.3352763816
1,0,1,0,0,0,1,0.8620756022,0.7107186913,0.7218399802,0.7657842552,0.7881274265,0.4487467310
1,1,0,0,1,0,1,0.1460902938,0.0837869099,0.3000734444,0.1743808682,0.8764306740,0.4052857845
1,1,1,1,0,0,0,0.8612647913,0.6516083060,0.9472453380,0.5168251325,0.7743405709,0.0635305550
0,1,0,1,1,1,0,0.6723887706,0.4444662267,0.7518586232,0.9201967707,0.5637201285,0.5937545053
0,0,1,0,0,0,0,0.8276144918,0.0345348935,0.5036528348,0.3144680355,0.9191146214,0.4910440329
0,0,0,1,1,0,0,0.7432800257,0.8775502997,0.4095419343,0.8021570388,0.8890142771,0.1055286438
1,0,1,0,0,0,0,0.3939439030,0.9737288258,0.0710833981,0.7232546713,0.1574770249,0.5200966201
1,0,1,0,1,1,0,0.2223994001,0.5819737581,0.9855015022,0.1701845448,0.9448390645,0.8663967676
1,0,0,0,0,1,0,0.8074295847,0.2541070404,0.5357152140,0.0705714650,0.5082267732,0.3478397769
0,0,1,0,1,1,0,0.3211201238,0.7513799504,0.8035020805,0.6484612348,0.6533143050,0.2901142561
1,0,0,1,0,1,1,0.3467607386,0.3664412894,0.0005145706,0.2603415200,0.8827587906,0.6390406773
1,0,1,1,1,0,1,0.3619787949,0.8674699767,0.9015815887,0.7409714023,0.1461746288,0.0797948395
1,0,0,0,1,0,0,0.4851773246,0.5639319355,0.8594574020,0.5750642298,0.4081833204,0.8502053572
1,1,1,0,0,1,1,0.6911010840,0.8808131558,0.5807656180,0.0280947490,0.0323001076,0.8378220117
1,1,1,1,0,1,0,0.1709225671,0.5976025998,0.8837972209,0.8295962103,0.7707061050,0.1635455312
0,1,0,0,0,1,0,0.3156740698,0.1805465813,0.3619640032,0.5585706653,0.1430084435,0.4985207985
0,1,1,0,0,0,0,0.2478632741,0.3852280481,0.5319924103,0.0138045461,0.6645740499,0.7402506354
1,0,1,0,1,1,1,0.6886582775,0.1627593278,0.1922829705,0.1526535414,0.3372609308,0.6217943667
0,1,0,1,1,0,1,0.6399090947,0.6211059154,0.9104234050,0.5573730525,0.0853588111,0.3412040225
1,1,1,0,1,0,0,0.3110351139,0.4772574245,0.5330218971,0.8557743891,0.1207772228,0.4089355296
1,1,1,1,0,1,1,0.9475184795,0.9742193278,0.2190657854,0.9937248179,0.4013947886,0.5231574271
1,1,1,1,1,0,1,0.2612021463,0.1397388550,0.4989708979,0.3324885853,0.4735420989,0.4260760490
1,1,1,1,1,0,1,0.6693628803,0.8330686246,0.4302822817,0.7907568449,0.9159876294,0.9378610686
0,0,1,1,0,0,1,0.5560812340,0.4080700222,0.4254121771,0.2841133913,0.4820210957,0.2187588299
1,0,0,0,1,0,0,0.3299407358,0.0310109798,0.1499449704,0.8439227059,0.8408858301,0.9921795684
1,1,0,1,1,0,1,0.5092794965,0.8481007805,0.3201427138,0.9038534593,0.5752818128,0.8686374477
0,1,0,1,0,0,0,0.9051908269,0.1474215579,0.3158607390,0.2811900801,0.4570637303,0.5450259238
0,1,0,1,1,0,1,0.5311192991,0.4383485815,0.3418941740,0.7590510701,0.0909456532,0.5284967739
1,1,0,0,1,0,1,0.3188775466,0.1365473182,0.7132706349,0.8713324796,0.4205614529,0.8676555855
1,0,1,1,0,0,0,0.5421584039,0.4447452342,0.1693731374,0.3821631349,0.7540847408,0.8516374016
0,0,0,0,0,0,0,0.5216727974,0.7343243691,0.2708397936,0.6921278075,0.5991257783,0.5424774443
1,0,0,1,0,0,0,0.3175805244,0.9751224988,0.8002858730,0.9442355866,0.5259049842,0.2302593933
0,0,0,0,0,0,1,0.3971222127,0.3477571374,0.6382476008,0.0461807111,0.2638609540,0.1850653989
1,0,0,0,1,1,0,0.1856279965,0.9430992119,0.2802423327,0.0305310776,0.9532095292,0.5995774860
0,0,0,0,1,0,0,0.9135043104,0.4843740128,0.6145844492,0.5255705859,0.0020299680,0.2707981616
1,1,1,1,1,1,0,0.4450651752,0.1830155933,0.9744532392,0.9103141436,0.0746728005,0.9766169707
0,0,1,1,0,0,1,0.6937198760,0.9977984726,0.0951782856,0.1747325002,0.0656235814,0.7269497570
0,0,0,1,1,0,1,0.4297059076,0.9301376529,0.1806945503,0.0296587986,0.8332164986,0.3550331336
0,1,1,0,0,1,1,0.4589405973,0.6127792276,0.9123878642,0.8371382970,0.4861606145,0.1976363366
1,1,1,1,1,0,0,0.9005561233,0.0932672098,0.0730520282,0.2420506221,0.8112863577,0.4075085535
0,1,0,1,1,0,0,0.5415642923,0.7923414679,0.0409666528,0.3298563748,0.9611844313,0.3427697970
0,1,0,0,1,0,0,0.1934489110,0.8406061926,0.8665101384,0.0949699190,0.2083523185,0.6944137728
0,1,0,0,1,0,1,0.6385824746,0.1196282050,0.0044831797,0.9718257445,0.6360959620,0.6999530783
0,1,1,0,1,1,1,0.8055954711,0.2983651059,0.5165545642,0.6646997295,0.1081210244,0.7467965758
0,0,1,0,1,1,1,0.6918124743,0.7395267347,0.5343984729,0.6722530457,0.1538320379,0.3410032336
0,0,1,0,0,0,0,0.8524638386,0.6424193745,0.0798623636,0.0881675892,0.8963056663,0.8157208539
0,0,1,1,0,1,1,0.6141908034,0.1362130814,0.8825290394,0.7075650310,0.4999515968,0.7569703283
1,0,1,1,1,1,0,0.2931477423,0.2626830675,0.0288146166,0.2472729948,0.7861640663,0.6068096077
0,1,0,0,1,0,1,0.6490879403,0.5817330270,0.9939432032,0.3458061828,0.2180221411,0.5108524691
0,0,1,0,1,0,1,0.2861105837,0.8725496582,0.8449999359,0.2922745785,0.8625113848,0.9013541588
0,0,1,1,1,1,0,0.4131620936,0.5287870597,0.6718895393,0.9822670296,0.6062307032,0.4389310814
1,1,1,0,1,1,1,0.3770899870,0.3738737390,0.7230943628,0.4504403356,0.4188744756,0.2073977911
1,1,0,0,0,1,0,0.3524440844,0.0475349836,0.7574010519,0.5381668000,0.1012453064,0.4273026777
1,0,1,1,1,1,0,0.8020565915,0.3423700398,0.7314826334,0.3376732352,0.3004235164,0.0256761415
0,0,1,0,0,0,1,0.5214184369,0.1037553763,0.4450994823,0.0829012706,0.8382610274,0.4496147819
1,0,1,0,0,0,0,0.8229740090,0.3058109269,0.3163383002,0.0336233894,0.9572453434,0.9163585939
1,0,1,0,0,0,1,0.6129424446,0.3325789240,0.4955521175,0.8492655959,0.4676508820,0.2630540649
1,0,1,1,1,0,1,0.5544507056,0.3167692437,0.1269414946,0.4819243620,0.0217962284,0.2946864692
1,1,1,0,0,1,1,0.9788898169,0.3265342298,0.5201883418,0.9121635673,0.2801500750,0.4983954197
0,1,1,1,1,0,1,0.3323796447,0.9867106806,0.5524547924,0.0296860039,0.9482640983,0.1056710691
0,1,0,1,1,0,1,0.7637307295,0.9645729456,0.0887767575,0.3356742980,0.9653337472,0.3410580037
0,1,0,0,1,0,1,0.6970230564,0.3216228429,0.6855042442,0.6276925169,0.1462762211,0.6171782357
0,1,0,0,0,1,1,0.6429130826,0.7624554024,0.8918410395,0.8620442352,0.3216860811,0.3501437879
1,1,1,0,1,0,0,0.0231725215,0.2651481908,0.7073740480,0.1275676670,0.8411096474,0.5401563221
1,1,1,0,1,1,0,0.7658009492,0.7354786489,0.6489323843,0.5582765643,0.6032090923,0.8535398673
0,1,0,0,1,0,1,0.8754048971,0.4849769981,0.2367476369,0.5600900603,0.7545699226,0.4517993014
1,0,0,1,0,0,0,0.1453868980,0.4389076680,0.8271142812,0.5654999795,0.5673691169,0.0035105525
1,0,1,1,1,1,0,0.6921036616,0.2225526376,0.5467001190,0.9563473240,0.6217922573,0.4079251639
1,0,1,1,1,1,1,0.2641061889,0.6987747592,0.4858149691,0.2480536927,0.3162454166,0.6418556324
1,1,0,0,1,0,1,0.9345302484,0.3604503190,0.5386735909,0.2726167063,0.3521597944,0.6698883632
1,1,0,1,0,1,0,0.3247425179,0.2309446144,0.7426924524,0.6368955686,0.7919312413,0.3431923436
0,1,1,1,0,1,1,0.7923640744,0.5893417955,0.3030872308,0.3330842154,0.1868968965,0.4575006482
0,1,1,1,0,1,0,0.6015042830,0.7144424072,0.5930455672,0.3648172687,0.6363123241,0.7256356389
1,0,1,1,0,0,1,0.4426059709,0.1765707941,0.9152014782,0.8829223933,0.3573316084,0.6766206501
0,0,1,0,1,0,0,0.2326764530,0.7001366038,0.9320442807,0.6347299158,0.5026346953,0.6913749850
0,1,0,0,0,0,1,0.0312595419,0.0918067251,0.5651886323,0.0019877525,0.6762435753,0.6288310597
1,1,0,0,1,0,1,0.4531087619,0.2443765691,0.7743473398,0.7517823013,0.3780184612,0.7471073135
0,1,1,0,1,0,1,0.7754987217,0.4173175669,0.1279201028,0.0772425486,0.8599008378,0.5675124824
0,1,0,1,0,1,1,0.5879222909,0.1672327537,0.3645571950,0.4279489792,0.5366397547,0.1446639937
1,0,1,0,0,0,1,0.4994624127,0.5436715856,0.9215733497,0.2561495858,0.8328698450,0.1887797466
0,1,0,1,1,1,0,0.9138719612,0.6638602857,0.0822861022,0.2919779913,0.4788136203,0.8043067800
1,0,1,0,1,0,1,0.3396930173,0.5195529917,0.8277520668,0.2379840328,0.4295782964,0.9838988441
0,1,0,1,0,1,0,0.5411768286,0.5417755698,0.1516213389,0.7498489600,0.5199211384,0.9319340568
1,0,1,1,1,0,0,0.7860286790,0.6700552418,0.6673456957,0.7983874702,0.9885676578,0.0129565997
0,0,0,1,0,1,0,0.4357250603,0.2902330467,0.6593725993,0.0183629440,0.4648712454,0.9853898641
1,1,1,1,0,1,0,0.5245108567,0.1990402578,0.0100541497,0.0223441576,0.9367158129,0.0863194535
0,1,1,0,1,1,1,0.9419944934,0.5760363075,0.4385685404,0.7478608917,0.6407538573,0.7647321257
0,1,0,1,0,1,1,0.1763607822,0.0134990159,0.4896829319,0.2706626221,0.5218637711,0.3780928687
0,1,1,0,1,1,1,0.5858272123,0.7413304388,0.0324211787,0.1006568107,0.2942822892,0.5102728261
0,1,0,0,1,0,0,0.3720536972,0.1121225669,0.3255858626,0.5747980825,0.9995696666,0.5989116849
1,0,0,0,0,0,0,0.0614518928,0.8538967264,0.0047482690,0.9217247479,0.6047898862,0.2468555775
1,1,0,1,0,0,0,0.6459524087,0.8234408218,0.6024370990,0.5243453560,0.5420148666,0.9219593774
1,0,1,1,1,0,1,0.6403028187,0.9691022905,0.4455538262,0.2727849032,0.4978252021,0.7113977792
1,0,1,1,1,0,0,0.9936105451,0.3011180679,0.4991378076,0.4931623330,0.4962864323,0.8324900744
0,1,0,0,0,0,1,0.6780207311,0.7347737192,0.4104502322,0.8721696334,0.4114181492,0.9116743039
1,0,1,1,0,1,0,0.7152320659,0.3762336043,0.9690970709,0.9143646951,0.9271152811,0.1668017055
1,1,0,0,1,1,1,0.5324353310,0.5093503902,0.4469285025,0.7045367477,0.9836200480,0.5800841558
0,0,1,1,0,1,1,0.7272095014,0.3039927538,0.0523116775,0.1428787857,0.8198107164,0.9593578726
0,1,0,0,0,1,1,0.0007756636,0.1259311079,0.2424051720,0.3218064723,0.7562115984,0.2533099153
1,1,0,0,1,1,1,0.5198432337,0.7438206142,0.5359880771,0.0925245127,0.1916460632,0.6568934959
1,0,0,1,0,0,1,0.5603920789,0.0783086340,0.0260708132,0.2846470145,0.6787587442,0.0617855531
1,0,1,0,0,0,0,0.2868022863,0.2983722282,0.4581436394,0.1305850251,0.1817658832,0.1029183147
0,1,0,1,1,0,0,0.5667700320,0.9871197371,0.7472816180,0.0640984508,0.8141509942,0.4384118537
0,1,0,0,0,1,1,0.8162403647,0.1905462970,0.5013491600,0.1630602656,0.7950282809,0.7872163849
0,1,0,0,1,1,1,0.6546483794,0.2816084558,0.4498440051,0.5510934964,0.0140423425,0.6486339206
1,1,0,1,0,1,0,0.2338483529,0.9188435702,0.6471335473,0.1298563634,0.5135890287,0.9168281616
1,1,1,0,1,1,1,0.5220244820,0.5484686610,0.2181469728,0.0768526183,0.8727985886,0.9462081972
0,1,1,0,0,0,1,0.0447010072,0.8692816095,0.8395833150,0.2795626656,0.4466283494,0.9995504683
0,0,0,0,1,0,0,0.1061753812,0.4739208599,0.9593783417,0.8829673189,0.2836779407,0.8582373648
1,1,0,0,0,1,1,0.4668919477,0.3709306712,0.7670889371,0.0867033503,0.0214971430,0.1852730522
1,0,1,1,0,0,1,0.6798534556,0.0870406860,0.3853466986,0.3486089325,0.9638655586,0.2459598118
0,1,0,0,1,1,0,0.9843758708,0.7139683636,0.8261332228,0.6732328488,0.1007623686,0.5709408536
1,0,1,1,0,0,1,0.2028336818,0.2290371931,0.9834979973,0.6731809387,0.6248436407,0.6886715172
1,0,0,0,0,0,1,0.3162588375,0.4737198721,0.5861769593,0.6460292558,0.0129542095,0.9417051198
1,0,0,0,1,0,1,0.2062616637,0.4820055407,0.7790682376,0.6930648852,0.2850688789,0.7118692435
0,1,0,1,0,1,1,0.7274785843,0.1350989393,0.3566718646,0.8122232645,0.5716375890,0.4455061457
0,1,0,0,1,0,1,0.8114157454,0.9495599102,0.4211187474,0.2940415326,0.9888441171,0.5995917446
1,1,1,0,0,1,1,0.7520015300,0.7216531150,0.2384609450,0.6803827067,0.6635231236,0.2499399860
0,0,1,0,0,0,0,0.3385509537,0.0954952575,0.5324468627,0.4379046643,0.4684669296,0.9883899889
1,0,1,0,1,0,0,0.0261663701,0.1258736080,0.6024694201,0.5567020811,0.7040691748,0.9561880259
0,1,1,1,0,0,1,0.9377989927,0.0278088120,0.0682159876,0.0460749702,0.7991871024,0.8032635073
1,1,1,1,1,1,0,0.4972862117,0.1285556424,0.7395973010,0.8068920351,0.1296955245,0.6245816560
0,1,0,0,0,0,0,0.1295831231,0.5526443510,0.4391255076,0.8392455559,0.8441467956,0.5949068028
0,0,1,1,0,1,0,0.8382393559,0.9549759808,0.6400944525,0.6898808922,0.9025906143,0.4050114541
0,0,0,0,0,1,0,0.1518684244,0.9256496178,0.7039259975,0.1201962642,0.8442015704,0.5078546675
